date,campaign_name,campaign_type,ad_group,impressions,clicks,spend_gbp,conversions,conversion_value_gbp
2024-06-01,Brand_Search_UK,search,Brand_Search_UK_AG1,1453,99,84.69,3,427.07
2024-06-01,Brand_Search_EU,search,Brand_Search_EU_AG1,411,24,31.93,0,131.35
2024-06-01,Shopping_Hoodies_UK,shopping,Shopping_Hoodies_UK_AG1,1464,70,74.84,1,264.22
2024-06-01,Shopping_Tees_UK,shopping,Shopping_Tees_UK_AG1,458,12,52.99,1,173.99
2024-06-01,Shopping_All_EU,shopping,Shopping_All_EU_AG1,470,13,37.84,1,110.79
2024-06-01,Generic_Streetwear_UK,search,Generic_Streetwear_UK_AG1,365,22,22.10,0,23.93
2024-06-01,PMax_Menswear_UK,pmax,PMax_Menswear_UK_AG1,1795,57,128.79,3,387.94
2024-06-02,Brand_Search_UK,search,Brand_Search_UK_AG1,931,22,80.61,3,417.90
2024-06-02,Brand_Search_EU,search,Brand_Search_EU_AG1,312,21,28.59,0,114.87
2024-06-02,Shopping_Hoodies_UK,shopping,Shopping_Hoodies_UK_AG1,735,28,74.19,1,280.93
2024-06-02,Shopping_Tees_UK,shopping,Shopping_Tees_UK_AG1,561,26,51.26,1,218.86
2024-06-02,Shopping_All_EU,shopping,Shopping_All_EU_AG1,260,11,32.58,0,101.64
2024-06-02,Generic_Streetwear_UK,search,Generic_Streetwear_UK_AG1,362,11,20.05,0,27.10
2024-06-02,PMax_Menswear_UK,pmax,PMax_Menswear_UK_AG1,1587,77,118.50,2,367.60
2024-06-03,Brand_Search_UK,search,Brand_Search_UK_AG1,1968,76,105.65,3,591.33
2024-06-03,Brand_Search_EU,search,Brand_Search_EU_AG1,501,20,36.74,1,157.70
2024-06-03,Shopping_Hoodies_UK,shopping,Shopping_Hoodies_UK_AG1,1370,104,89.36,1,286.83
2024-06-03,Shopping_Tees_UK,shopping,Shopping_Tees_UK_AG1,657,37,73.26,1,310.35
2024-06-03,Shopping_All_EU,shopping,Shopping_All_EU_AG1,644,48,49.76,1,156.97
2024-06-03,Generic_Streetwear_UK,search,Generic_Streetwear_UK_AG1,428,30,24.73,0,28.94
2024-06-03,PMax_Menswear_UK,pmax,PMax_Menswear_UK_AG1,2049,102,154.68,3,588.33
2024-06-04,Brand_Search_UK,search,Brand_Search_UK_AG1,926,54,97.58,3,543.80
2024-06-04,Brand_Search_EU,search,Brand_Search_EU_AG1,539,33,34.66,0,143.64
2024-06-04,Shopping_Hoodies_UK,shopping,Shopping_Hoodies_UK_AG1,2007,109,103.98,3,408.76
2024-06-04,Shopping_Tees_UK,shopping,Shopping_Tees_UK_AG1,949,75,60.28,1,205.92
2024-06-04,Shopping_All_EU,shopping,Shopping_All_EU_AG1,414,18,47.91,1,143.58
2024-06-04,Generic_Streetwear_UK,search,Generic_Streetwear_UK_AG1,495,29,28.78,0,33.81
2024-06-04,PMax_Menswear_UK,pmax,PMax_Menswear_UK_AG1,3076,108,198.73,4,618.76
2024-06-05,Brand_Search_UK,search,Brand_Search_UK_AG1,862,20,91.22,3,412.07
2024-06-05,Brand_Search_EU,search,Brand_Search_EU_AG1,601,28,34.78,0,118.81
2024-06-05,Shopping_Hoodies_UK,shopping,Shopping_Hoodies_UK_AG1,1369,104,99.43,1,313.04
2024-06-05,Shopping_Tees_UK,shopping,Shopping_Tees_UK_AG1,1097,61,56.15,1,237.87
2024-06-05,Shopping_All_EU,shopping,Shopping_All_EU_AG1,567,44,47.18,0,154.98
2024-06-05,Generic_Streetwear_UK,search,Generic_Streetwear_UK_AG1,319,18,26.83,0,33.47
2024-06-05,PMax_Menswear_UK,pmax,PMax_Menswear_UK_AG1,2643,94,187.41,4,585.68
2024-06-06,Brand_Search_UK,search,Brand_Search_UK_AG1,1395,68,98.71,4,520.22
2024-06-06,Brand_Search_EU,search,Brand_Search_EU_AG1,484,23,34.18,1,133.42
2024-06-06,Shopping_Hoodies_UK,shopping,Shopping_Hoodies_UK_AG1,1699,123,91.70,2,280.09
2024-06-06,Shopping_Tees_UK,shopping,Shopping_Tees_UK_AG1,1244,74,67.51,1,269.22
2024-06-06,Shopping_All_EU,shopping,Shopping_All_EU_AG1,882,41,52.99,1,177.41
2024-06-06,Generic_Streetwear_UK,search,Generic_Streetwear_UK_AG1,212,15,23.34,0,29.73
2024-06-06,PMax_Menswear_UK,pmax,PMax_Menswear_UK_AG1,1305,44,151.32,3,527.61
2024-06-07,Brand_Search_UK,search,Brand_Search_UK_AG1,1035,25,119.92,6,674.19
2024-06-07,Brand_Search_EU,search,Brand_Search_EU_AG1,801,58,41.42,1,174.06
2024-06-07,Shopping_Hoodies_UK,shopping,Shopping_Hoodies_UK_AG1,845,53,90.20,2,340.98
2024-06-07,Shopping_Tees_UK,shopping,Shopping_Tees_UK_AG1,556,32,59.88,2,250.45
2024-06-07,Shopping_All_EU,shopping,Shopping_All_EU_AG1,825,62,48.97,1,161.33
2024-06-07,Generic_Streetwear_UK,search,Generic_Streetwear_UK_AG1,347,14,27.02,0,34.43
2024-06-07,PMax_Menswear_UK,pmax,PMax_Menswear_UK_AG1,2810,104,165.33,4,526.54
2024-06-08,Brand_Search_UK,search,Brand_Search_UK_AG1,994,62,88.43,3,470.96
2024-06-08,Brand_Search_EU,search,Brand_Search_EU_AG1,492,36,32.69,0,130.15
2024-06-08,Shopping_Hoodies_UK,shopping,Shopping_Hoodies_UK_AG1,1292,97,75.48,1,266.00
2024-06-08,Shopping_Tees_UK,shopping,Shopping_Tees_UK_AG1,1059,66,53.85,1,210.38
2024-06-08,Shopping_All_EU,shopping,Shopping_All_EU_AG1,456,32,39.17,0,102.11
2024-06-08,Generic_Streetwear_UK,search,Generic_Streetwear_UK_AG1,223,11,21.33,0,24.57
2024-06-08,PMax_Menswear_UK,pmax,PMax_Menswear_UK_AG1,1926,42,114.32,2,381.29
2024-06-09,Brand_Search_UK,search,Brand_Search_UK_AG1,709,14,81.51,2,400.92
2024-06-09,Brand_Search_EU,search,Brand_Search_EU_AG1,239,11,25.91,0,88.18
2024-06-09,Shopping_Hoodies_UK,shopping,Shopping_Hoodies_UK_AG1,1238,42,74.89,1,223.28
2024-06-09,Shopping_Tees_UK,shopping,Shopping_Tees_UK_AG1,484,13,47.74,0,166.09
2024-06-09,Shopping_All_EU,shopping,Shopping_All_EU_AG1,496,15,34.24,0,102.33
2024-06-09,Generic_Streetwear_UK,search,Generic_Streetwear_UK_AG1,279,9,22.60,0,24.95
2024-06-09,PMax_Menswear_UK,pmax,PMax_Menswear_UK_AG1,1007,25,123.40,4,426.93
2024-06-10,Brand_Search_UK,search,Brand_Search_UK_AG1,886,62,109.64,3,587.00
2024-06-10,Brand_Search_EU,search,Brand_Search_EU_AG1,376,9,37.86,1,172.17
2024-06-10,Shopping_Hoodies_UK,shopping,Shopping_Hoodies_UK_AG1,1989,63,103.47,3,400.24
2024-06-10,Shopping_Tees_UK,shopping,Shopping_Tees_UK_AG1,911,41,65.96,1,219.93
2024-06-10,Shopping_All_EU,shopping,Shopping_All_EU_AG1,844,49,46.14,0,122.01
2024-06-10,Generic_Streetwear_UK,search,Generic_Streetwear_UK_AG1,441,16,25.15,0,31.04
2024-06-10,PMax_Menswear_UK,pmax,PMax_Menswear_UK_AG1,3407,258,193.06,5,757.63
2024-06-11,Brand_Search_UK,search,Brand_Search_UK_AG1,1382,41,117.62,5,593.15
2024-06-11,Brand_Search_EU,search,Brand_Search_EU_AG1,753,48,43.50,1,185.53
2024-06-11,Shopping_Hoodies_UK,shopping,Shopping_Hoodies_UK_AG1,1523,77,85.84,1,284.35
2024-06-11,Shopping_Tees_UK,shopping,Shopping_Tees_UK_AG1,788,29,70.92,1,231.74
2024-06-11,Shopping_All_EU,shopping,Shopping_All_EU_AG1,757,31,49.35,1,135.01
2024-06-11,Generic_Streetwear_UK,search,Generic_Streetwear_UK_AG1,263,17,25.33,0,31.91
2024-06-11,PMax_Menswear_UK,pmax,PMax_Menswear_UK_AG1,3010,99,172.28,4,678.44
2024-06-12,Brand_Search_UK,search,Brand_Search_UK_AG1,1825,140,96.33,4,504.17
2024-06-12,Brand_Search_EU,search,Brand_Search_EU_AG1,392,9,37.43,1,132.09
2024-06-12,Shopping_Hoodies_UK,shopping,Shopping_Hoodies_UK_AG1,1579,74,92.10,3,365.57
2024-06-12,Shopping_Tees_UK,shopping,Shopping_Tees_UK_AG1,581,14,67.25,1,260.97
2024-06-12,Shopping_All_EU,shopping,Shopping_All_EU_AG1,665,40,41.36,1,125.86
2024-06-12,Generic_Streetwear_UK,search,Generic_Streetwear_UK_AG1,231,10,28.29,0,32.58
2024-06-12,PMax_Menswear_UK,pmax,PMax_Menswear_UK_AG1,2536,125,195.87,4,631.51
2024-06-13,Brand_Search_UK,search,Brand_Search_UK_AG1,1758,40,91.36,4,504.34
2024-06-13,Brand_Search_EU,search,Brand_Search_EU_AG1,462,12,34.72,1,138.42
2024-06-13,Shopping_Hoodies_UK,shopping,Shopping_Hoodies_UK_AG1,1784,52,104.25,2,351.73
2024-06-13,Shopping_Tees_UK,shopping,Shopping_Tees_UK_AG1,843,60,65.06,1,262.10
2024-06-13,Shopping_All_EU,shopping,Shopping_All_EU_AG1,818,20,42.00,1,140.18
2024-06-13,Generic_Streetwear_UK,search,Generic_Streetwear_UK_AG1,459,15,24.98,0,27.75
2024-06-13,PMax_Menswear_UK,pmax,PMax_Menswear_UK_AG1,1536,118,176.38,3,568.14
2024-06-14,Brand_Search_UK,search,Brand_Search_UK_AG1,781,20,92.59,2,458.90
2024-06-14,Brand_Search_EU,search,Brand_Search_EU_AG1,544,29,37.91,1,146.23
2024-06-14,Shopping_Hoodies_UK,shopping,Shopping_Hoodies_UK_AG1,1069,44,96.62,1,306.90
2024-06-14,Shopping_Tees_UK,shopping,Shopping_Tees_UK_AG1,1280,28,69.98,2,295.55
2024-06-14,Shopping_All_EU,shopping,Shopping_All_EU_AG1,908,68,47.44,0,128.95
2024-06-14,Generic_Streetwear_UK,search,Generic_Streetwear_UK_AG1,273,20,25.69,0,27.39
2024-06-14,PMax_Menswear_UK,pmax,PMax_Menswear_UK_AG1,2473,196,181.32,3,593.90
2024-06-15,Brand_Search_UK,search,Brand_Search_UK_AG1,1718,61,93.52,2,399.83
2024-06-15,Brand_Search_EU,search,Brand_Search_EU_AG1,388,9,27.65,0,119.65
2024-06-15,Shopping_Hoodies_UK,shopping,Shopping_Hoodies_UK_AG1,1436,63,72.40,2,221.49
2024-06-15,Shopping_Tees_UK,shopping,Shopping_Tees_UK_AG1,677,18,56.03,2,222.44
2024-06-15,Shopping_All_EU,shopping,Shopping_All_EU_AG1,260,11,32.09,0,87.66
2024-06-15,Generic_Streetwear_UK,search,Generic_Streetwear_UK_AG1,285,15,22.26,0,24.09
2024-06-15,PMax_Menswear_UK,pmax,PMax_Menswear_UK_AG1,2550,124,133.63,3,463.68
2024-06-16,Brand_Search_UK,search,Brand_Search_UK_AG1,679,28,72.53,2,383.24
2024-06-16,Brand_Search_EU,search,Brand_Search_EU_AG1,319,14,32.95,1,134.48
2024-06-16,Shopping_Hoodies_UK,shopping,Shopping_Hoodies_UK_AG1,1131,74,77.51,2,305.04
2024-06-16,Shopping_Tees_UK,shopping,Shopping_Tees_UK_AG1,558,14,45.23,1,172.28
2024-06-16,Shopping_All_EU,shopping,Shopping_All_EU_AG1,307,16,30.47,0,100.11
2024-06-16,Generic_Streetwear_UK,search,Generic_Streetwear_UK_AG1,335,16,23.23,0,25.17
2024-06-16,PMax_Menswear_UK,pmax,PMax_Menswear_UK_AG1,1706,80,124.63,2,423.27
2024-06-17,Brand_Search_UK,search,Brand_Search_UK_AG1,1356,91,92.97,3,511.51
