date,campaign_name,campaign_objective,ad_set,ad_name,placement,impressions,clicks,spend_gbp,conversions,conversion_value_gbp
2024-06-01,Prospecting_Mens_UK,conversions,Prospecting_Mens_UK_AS1,Prospecting_Mens_UK_Ad1,instagram_stories,3338,34,164.82,2,522.97
2024-06-01,Prospecting_Mens_EU,conversions,Prospecting_Mens_EU_AS1,Prospecting_Mens_EU_Ad1,instagram_feed,2352,49,90.79,1,214.66
2024-06-01,Retargeting_AllUsers,conversions,Retargeting_AllUsers_AS1,Retargeting_AllUsers_Ad1,instagram_feed,3486,49,123.38,4,637.66
2024-06-01,Brand_Awareness_UK,awareness,Brand_Awareness_UK_AS1,Brand_Awareness_UK_Ad1,reels,921,31,51.59,0,0.00
2024-06-02,Prospecting_Mens_UK,conversions,Prospecting_Mens_UK_AS1,Prospecting_Mens_UK_Ad1,facebook_feed,4507,63,153.98,3,489.45
2024-06-02,Prospecting_Mens_EU,conversions,Prospecting_Mens_EU_AS1,Prospecting_Mens_EU_Ad1,facebook_feed,2068,25,75.46,1,201.52
2024-06-02,Retargeting_AllUsers,conversions,Retargeting_AllUsers_AS1,Retargeting_AllUsers_Ad1,instagram_stories,2148,34,105.29,4,595.68
2024-06-02,Brand_Awareness_UK,awareness,Brand_Awareness_UK_AS1,Brand_Awareness_UK_Ad1,instagram_feed,1257,43,41.63,0,0.00
2024-06-03,Prospecting_Mens_UK,conversions,Prospecting_Mens_UK_AS1,Prospecting_Mens_UK_Ad1,instagram_stories,4438,162,255.86,5,733.04
2024-06-03,Prospecting_Mens_EU,conversions,Prospecting_Mens_EU_AS1,Prospecting_Mens_EU_Ad1,instagram_feed,3852,39,100.37,1,260.65
2024-06-03,Retargeting_AllUsers,conversions,Retargeting_AllUsers_AS1,Retargeting_AllUsers_Ad1,facebook_feed,5632,220,148.82,6,746.64
2024-06-03,Brand_Awareness_UK,awareness,Brand_Awareness_UK_AS1,Brand_Awareness_UK_Ad1,instagram_stories,2072,35,61.04,0,0.00
2024-06-04,Prospecting_Mens_UK,conversions,Prospecting_Mens_UK_AS1,Prospecting_Mens_UK_Ad1,instagram_stories,9210,154,238.39,6,672.26
2024-06-04,Prospecting_Mens_EU,conversions,Prospecting_Mens_EU_AS1,Prospecting_Mens_EU_Ad1,facebook_feed,2674,65,95.42,1,205.31
2024-06-04,Retargeting_AllUsers,conversions,Retargeting_AllUsers_AS1,Retargeting_AllUsers_Ad1,instagram_feed,3146,66,150.29,4,731.19
