movement_id,variant_id,date,type,quantity_delta,running_balance,reference_id
mv_0000001,var_000001,2024-06-01T08:00:00,po_receipt,121,121,PO-2024-0006
mv_0000002,var_000002,2024-06-01T08:00:00,po_receipt,191,191,PO-2024-0006
mv_0000003,var_000003,2024-06-01T08:00:00,po_receipt,288,288,PO-2024-0006
mv_0000004,var_000004,2024-06-01T08:00:00,po_receipt,243,243,PO-2024-0006
mv_0000005,var_000005,2024-06-01T08:00:00,po_receipt,210,210,PO-2024-0006
mv_0000006,var_000006,2024-06-01T08:00:00,po_receipt,113,113,PO-2024-0006
mv_0000007,var_000007,2024-06-01T08:00:00,po_receipt,175,175,PO-2024-0006
mv_0000008,var_000008,2024-06-01T08:00:00,po_receipt,253,253,PO-2024-0006
mv_0000009,var_000009,2024-06-01T08:00:00,po_receipt,208,208,PO-2024-0006
mv_0000010,var_000010,2024-06-01T08:00:00,po_receipt,241,241,PO-2024-0006
mv_0000011,var_000011,2024-06-01T08:00:00,po_receipt,115,115,PO-2024-0006
mv_0000012,var_000012,2024-06-01T08:00:00,po_receipt,187,187,PO-2024-0006
mv_0000013,var_000013,2024-06-01T08:00:00,po_receipt,291,291,PO-2024-0006
mv_0000014,var_000014,2024-06-01T08:00:00,po_receipt,210,210,PO-2024-0006
mv_0000015,var_000015,2024-06-01T08:00:00,po_receipt,247,247,PO-2024-0006
mv_0000016,var_000016,2024-06-01T08:00:00,po_receipt,71,71,PO-2024-0006
mv_0000017,var_000017,2024-06-01T08:00:00,po_receipt,111,111,PO-2024-0006
mv_0000018,var_000018,2024-06-01T08:00:00,po_receipt,187,187,PO-2024-0006
mv_0000019,var_000019,2024-06-01T08:00:00,po_receipt,137,137,PO-2024-0006
mv_0000020,var_000020,2024-06-01T08:00:00,po_receipt,154,154,PO-2024-0006
mv_0000021,var_000021,2024-06-01T08:00:00,po_receipt,67,67,PO-2024-0006
mv_0000022,var_000022,2024-06-01T08:00:00,po_receipt,117,117,PO-2024-0006
mv_0000023,var_000023,2024-06-01T08:00:00,po_receipt,176,176,PO-2024-0006
mv_0000024,var_000024,2024-06-01T08:00:00,po_receipt,139,139,PO-2024-0006
mv_0000025,var_000025,2024-06-01T08:00:00,po_receipt,147,147,PO-2024-0006
mv_0000026,var_000026,2024-06-01T08:00:00,po_receipt,78,78,PO-2024-0006
mv_0000027,var_000027,2024-06-01T08:00:00,po_receipt,112,112,PO-2024-0006
mv_0000028,var_000028,2024-06-01T08:00:00,po_receipt,158,158,PO-2024-0006
mv_0000029,var_000029,2024-06-01T08:00:00,po_receipt,142,142,PO-2024-0006
mv_0000030,var_000030,2024-06-01T08:00:00,po_receipt,132,132,PO-2024-0006
mv_0000031,var_000031,2024-06-01T08:00:00,po_receipt,64,64,PO-2024-0006
mv_0000032,var_000032,2024-06-01T08:00:00,po_receipt,104,104,PO-2024-0006
mv_0000033,var_000033,2024-06-01T08:00:00,po_receipt,136,136,PO-2024-0006
mv_0000034,var_000034,2024-06-01T08:00:00,po_receipt,134,134,PO-2024-0006
mv_0000035,var_000035,2024-06-01T08:00:00,po_receipt,130,130,PO-2024-0006
mv_0000036,var_000036,2024-06-01T08:00:00,po_receipt,62,62,PO-2024-0006
mv_0000037,var_000037,2024-06-01T08:00:00,po_receipt,90,90,PO-2024-0006
mv_0000038,var_000038,2024-06-01T08:00:00,po_receipt,141,141,PO-2024-0006
mv_0000039,var_000039,2024-06-01T08:00:00,po_receipt,124,124,PO-2024-0006
mv_0000040,var_000040,2024-06-01T08:00:00,po_receipt,133,133,PO-2024-0006
mv_0000041,var_000058,2024-06-01T08:00:00,po_receipt,101,101,PO-2024-0006
mv_0000042,var_000059,2024-06-01T08:00:00,po_receipt,187,187,PO-2024-0006
mv_0000043,var_000060,2024-06-01T08:00:00,po_receipt,243,243,PO-2024-0006
mv_0000044,var_000061,2024-06-01T08:00:00,po_receipt,226,226,PO-2024-0006
mv_0000045,var_000062,2024-06-01T08:00:00,po_receipt,215,215,PO-2024-0006
mv_0000046,var_000063,2024-06-01T08:00:00,po_receipt,118,118,PO-2024-0006
mv_0000047,var_000064,2024-06-01T08:00:00,po_receipt,167,167,PO-2024-0006
mv_0000048,var_000065,2024-06-01T08:00:00,po_receipt,288,288,PO-2024-0006
mv_0000049,var_000066,2024-06-01T08:00:00,po_receipt,236,236,PO-2024-0006
mv_0000050,var_000067,2024-06-01T08:00:00,po_receipt,246,246,PO-2024-0006
mv_0000051,var_000068,2024-06-01T08:00:00,po_receipt,113,113,PO-2024-0006
mv_0000052,var_000069,2024-06-01T08:00:00,po_receipt,169,169,PO-2024-0006
mv_0000053,var_000070,2024-06-01T08:00:00,po_receipt,283,283,PO-2024-0006
mv_0000054,var_000071,2024-06-01T08:00:00,po_receipt,226,226,PO-2024-0006
mv_0000055,var_000072,2024-06-01T08:00:00,po_receipt,203,203,PO-2024-0006
mv_0000056,var_000073,2024-06-01T08:00:00,po_receipt,67,67,PO-2024-0006
mv_0000057,var_000074,2024-06-01T08:00:00,po_receipt,109,109,PO-2024-0006
mv_0000058,var_000075,2024-06-01T08:00:00,po_receipt,178,178,PO-2024-0006
mv_0000059,var_000076,2024-06-01T08:00:00,po_receipt,155,155,PO-2024-0006
