line_item_id,order_id,variant_id,product_id,title,quantity,price,total_discount
li_0000001,ord_000001,var_000136,prod_00013,Utility Sweatpants - Sage / XS,1,120.83,18.12
li_0000002,ord_000002,var_000109,prod_00010,Heavyweight Hoodie - Charcoal / S,1,141.67,0
li_0000003,ord_000003,var_000129,prod_00012,Heritage Tee - Washed Black / L,1,45.83,0
li_0000004,ord_000004,var_000100,prod_00009,Arch Logo Tee - Washed Black / M,1,43.33,0
li_0000005,ord_000004,var_000065,prod_00006,Staple Tee - Sage / M,1,40.00,0
li_0000006,ord_000004,var_000117,prod_00010,Heavyweight Hoodie - Washed Black / XL,1,141.67,0
li_0000007,ord_000005,var_000107,prod_00009,Arch Logo Tee - Vintage Cream / XL,1,43.33,0
li_0000008,ord_000006,var_000064,prod_00006,Staple Tee - Sage / S,1,40.00,4.90
li_0000009,ord_000006,var_000007,prod_00001,Essential Tee - Vintage Cream / S,1,41.67,5.10
li_0000010,ord_000007,var_000099,prod_00009,Arch Logo Tee - Washed Black / S,1,43.33,0
li_0000011,ord_000008,var_000005,prod_00001,Essential Tee - Washed Black / XL,1,41.67,0
li_0000012,ord_000009,var_000104,prod_00009,Arch Logo Tee - Vintage Cream / S,1,43.33,6.50
li_0000013,ord_000010,var_000022,prod_00002,Classic Hoodie - Deep Navy / S,1,129.17,0
li_0000014,ord_000011,var_000045,prod_00005,Court Trainer - Off-White / UK7,1,162.50,0
li_0000015,ord_000011,var_000122,prod_00012,Heritage Tee - Deep Navy / S,1,45.83,0
li_0000016,ord_000012,var_000072,prod_00006,Staple Tee - Deep Navy / XL,1,40.00,0
li_0000017,ord_000013,var_000116,prod_00010,Heavyweight Hoodie - Washed Black / L,1,141.67,10.00
li_0000018,ord_000014,var_000070,prod_00006,Staple Tee - Deep Navy / M,1,40.00,0
li_0000019,ord_000014,var_000052,prod_00005,Court Trainer - Washed Black / UK7,1,162.50,0
li_0000020,ord_000014,var_000071,prod_00006,Staple Tee - Deep Navy / L,1,40.00,0
li_0000021,ord_000014,var_000106,prod_00009,Arch Logo Tee - Vintage Cream / L,1,43.33,0
li_0000022,ord_000015,var_000142,prod_00013,Utility Sweatpants - Charcoal / S,1,120.83,0
li_0000023,ord_000015,var_000106,prod_00009,Arch Logo Tee - Vintage Cream / L,1,43.33,0
li_0000024,ord_000016,var_000080,prod_00007,Relaxed Hoodie - Burgundy / M,1,133.33,0
li_0000025,ord_000017,var_000008,prod_00001,Essential Tee - Vintage Cream / M,1,41.67,4.17
li_0000026,ord_000018,var_000007,prod_00001,Essential Tee - Vintage Cream / S,1,41.67,0
li_0000027,ord_000018,var_000051,prod_00005,Court Trainer - Washed Black / UK6,1,162.50,0
li_0000028,ord_000019,var_000148,prod_00014,Emblem Cap - Sage / ONE,1,40.00,0
li_0000029,ord_000020,var_000098,prod_00009,Arch Logo Tee - Washed Black / XS,1,43.33,0
li_0000030,ord_000020,var_000097,prod_00008,Slim Sweatpants - Deep Navy / XL,1,116.67,0
li_0000031,ord_000021,var_000017,prod_00002,Classic Hoodie - Washed Black / S,1,129.17,0
li_0000032,ord_000022,var_000106,prod_00009,Arch Logo Tee - Vintage Cream / L,1,43.33,0
li_0000033,ord_000023,var_000117,prod_00010,Heavyweight Hoodie - Washed Black / XL,1,141.67,0
li_0000034,ord_000024,var_000067,prod_00006,Staple Tee - Sage / XL,1,40.00,4.00
li_0000035,ord_000025,var_000130,prod_00012,Heritage Tee - Washed Black / XL,1,45.83,0
li_0000036,ord_000025,var_000132,prod_00012,Heritage Tee - Vintage Cream / S,1,45.83,0
li_0000037,ord_000025,var_000148,prod_00014,Emblem Cap - Sage / ONE,1,40.00,0
li_0000038,ord_000026,var_000027,prod_00002,Classic Hoodie - Charcoal / S,1,129.17,12.92
li_0000039,ord_000027,var_000104,prod_00009,Arch Logo Tee - Vintage Cream / S,1,43.33,6.50
li_0000040,ord_000028,var_000100,prod_00009,Arch Logo Tee - Washed Black / M,1,43.33,4.86
li_0000041,ord_000028,var_000127,prod_00012,Heritage Tee - Washed Black / S,1,45.83,5.14
li_0000042,ord_000029,var_000112,prod_00010,Heavyweight Hoodie - Charcoal / XL,1,141.67,0
li_0000043,ord_000029,var_000014,prod_00001,Essential Tee - Charcoal / L,1,41.67,0
li_0000044,ord_000030,var_000128,prod_00012,Heritage Tee - Washed Black / M,1,45.83,0
li_0000045,ord_000030,var_000075,prod_00007,Relaxed Hoodie - Faded Olive / M,1,133.33,0
li_0000046,ord_000030,var_000049,prod_00005,Court Trainer - Off-White / UK11,1,162.50,0
li_0000047,ord_000031,var_000067,prod_00006,Staple Tee - Sage / XL,1,40.00,4.00
li_0000048,ord_000031,var_000131,prod_00012,Heritage Tee - Vintage Cream / XS,1,45.83,4.58
li_0000049,ord_000032,var_000038,prod_00003,Everyday Sweatpants - Faded Olive / M,1,112.50,0
li_0000050,ord_000033,var_000045,prod_00005,Court Trainer - Off-White / UK7,1,162.50,5.49
li_0000051,ord_000033,var_000075,prod_00007,Relaxed Hoodie - Faded Olive / M,1,133.33,4.51
li_0000052,ord_000034,var_000123,prod_00012,Heritage Tee - Deep Navy / M,1,45.83,0
li_0000053,ord_000035,var_000008,prod_00001,Essential Tee - Vintage Cream / M,1,41.67,0
li_0000054,ord_000035,var_000001,prod_00001,Essential Tee - Washed Black / XS,1,41.67,0
li_0000055,ord_000036,var_000017,prod_00002,Classic Hoodie - Washed Black / S,1,129.17,0
li_0000056,ord_000037,var_000102,prod_00009,Arch Logo Tee - Washed Black / XL,1,43.33,0
li_0000057,ord_000038,var_000055,prod_00005,Court Trainer - Washed Black / UK10,1,162.50,0
li_0000058,ord_000039,var_000119,prod_00011,Script Cap - Faded Olive / ONE,1,35.00,0
li_0000059,ord_000040,var_000063,prod_00006,Staple Tee - Sage / XS,1,40.00,0
li_0000060,ord_000040,var_000148,prod_00014,Emblem Cap - Sage / ONE,1,40.00,0
li_0000061,ord_000041,var_000101,prod_00009,Arch Logo Tee - Washed Black / L,1,43.33,0
li_0000062,ord_000041,var_000089,prod_00008,Slim Sweatpants - Washed Black / S,1,116.67,0
li_0000063,ord_000041,var_000129,prod_00012,Heritage Tee - Washed Black / L,1,45.83,0
li_0000064,ord_000042,var_000066,prod_00006,Staple Tee - Sage / L,1,40.00,0
li_0000065,ord_000042,var_000155,prod_00015,Track Hoodie - Vintage Cream / S,1,125.00,0
li_0000066,ord_000043,var_000042,prod_00004,Logo Cap - Vintage Cream / ONE,1,37.50,0
li_0000067,ord_000044,var_000129,prod_00012,Heritage Tee - Washed Black / L,1,45.83,0
li_0000068,ord_000044,var_000139,prod_00013,Utility Sweatpants - Sage / L,1,120.83,0
li_0000069,ord_000044,var_000070,prod_00006,Staple Tee - Deep Navy / M,1,40.00,0
li_0000070,ord_000045,var_000103,prod_00009,Arch Logo Tee - Vintage Cream / XS,1,43.33,0
li_0000071,ord_000045,var_000105,prod_00009,Arch Logo Tee - Vintage Cream / M,1,43.33,0
li_0000072,ord_000045,var_000100,prod_00009,Arch Logo Tee - Washed Black / M,1,43.33,0
li_0000073,ord_000046,var_000062,prod_00006,Staple Tee - Off-White / XL,1,40.00,0
li_0000074,ord_000046,var_000071,prod_00006,Staple Tee - Deep Navy / L,1,40.00,0
li_0000075,ord_000047,var_000039,prod_00003,Everyday Sweatpants - Faded Olive / L,1,112.50,0
li_0000076,ord_000048,var_000043,prod_00004,Logo Cap - Deep Navy / ONE,1,37.50,0
li_0000077,ord_000049,var_000037,prod_00003,Everyday Sweatpants - Faded Olive / S,1,112.50,0
li_0000078,ord_000050,var_000103,prod_00009,Arch Logo Tee - Vintage Cream / XS,1,43.33,0
