order_id,order_number,customer_id,created_at,currency,subtotal,total_discounts,total_shipping,total_tax,total_price,financial_status,fulfillment_status,utm_source,utm_medium,utm_campaign,landing_site,referring_site,tags,discount_code
ord_000001,1001,cust_000001,2024-06-01T09:23:19,GBP,120.83,18.12,0,20.54,123.25,paid,fulfilled,facebook,paid_social,Retargeting_AllUsers,/,,,SUMMER24
ord_000002,1002,cust_000002,2024-06-01T22:29:43,GBP,141.67,0,0,28.33,170.00,paid,fulfilled,direct,none,,/,,,
ord_000003,1003,cust_000003,2024-06-01T10:05:29,GBP,45.83,0,4.95,10.16,60.94,partially_refunded,fulfilled,google,cpc,Shopping_Tees_UK,/,,,
ord_000004,1004,cust_000004,2024-06-01T15:55:37,GBP,225.00,0,0,45.00,270.00,paid,fulfilled,klaviyo,email,Drop_Announcement,/,,,
ord_000005,1005,cust_000005,2024-06-01T17:17:01,GBP,43.33,0,4.95,9.66,57.94,paid,fulfilled,facebook,paid_social,Retargeting_AllUsers,/,,,
ord_000006,1006,cust_000006,2024-06-01T16:14:44,GBP,81.67,10,9.95,0,81.62,paid,fulfilled,facebook,paid_social,Prospecting_Mens_UK,/,,,PRETTYNEW
ord_000007,1007,cust_000007,2024-06-01T18:09:45,GBP,43.33,0,9.95,0,53.28,paid,fulfilled,google,cpc,Brand_Search_UK,/,,,
ord_000008,1008,cust_000008,2024-06-01T22:40:14,GBP,41.67,0,4.95,9.32,55.94,paid,fulfilled,direct,none,,/,,,
ord_000009,1009,cust_000009,2024-06-01T15:59:21,GBP,43.33,6.50,4.95,8.36,50.14,paid,fulfilled,google,cpc,PMax_Menswear_UK,/,,,SUMMER24
ord_000010,1010,cust_000010,2024-06-01T14:31:03,GBP,129.17,0,0,0,129.17,paid,fulfilled,google,cpc,Brand_Search_UK,/,,,
ord_000011,1011,cust_000011,2024-06-01T13:06:02,GBP,208.33,0,0,41.67,250.00,paid,fulfilled,instagram,paid_social,Retargeting_AllUsers,/,,,
ord_000012,1012,cust_000007,2024-06-01T21:02:22,GBP,40.00,0,4.95,8.99,53.94,paid,fulfilled,klaviyo,email,Welcome_Flow,/,,,
ord_000013,1013,cust_000012,2024-06-01T13:44:14,GBP,141.67,10,0,26.33,158.00,paid,fulfilled,facebook,paid_social,Prospecting_Mens_EU,/,,,PRETTYNEW
ord_000014,1014,cust_000013,2024-06-01T13:20:45,GBP,285.83,0,0,57.17,343.00,partially_refunded,fulfilled,instagram,paid_social,Prospecting_Mens_UK,/,,,
