refund_id,order_id,created_at,amount,reason,refund_line_items
ref_000001,ord_000003,2024-06-17T12:00:00,55.00,size_too_large,"[""var_000129""]"
ref_000002,ord_000014,2024-06-22T12:00:00,48.00,quality_issue,"[""var_000071""]"
ref_000003,ord_000015,2024-06-26T12:00:00,52.00,damaged_in_transit,"[""var_000106""]"
ref_000004,ord_000020,2024-06-08T12:00:00,43.33,quality_issue,"[""var_000098""]"
ref_000005,ord_000025,2024-06-29T12:00:00,55.00,size_too_small,"[""var_000130""]"
ref_000006,ord_000030,2024-06-29T12:00:00,195.00,size_too_small,"[""var_000049""]"
ref_000007,ord_000037,2024-06-23T12:00:00,52.00,not_as_described,"[""var_000102""]"
ref_000008,ord_000054,2024-06-22T12:00:00,52.00,changed_mind,"[""var_000107""]"
ref_000009,ord_000055,2024-06-14T12:00:00,155.00,size_too_large,"[""var_000026""]"
ref_000010,ord_000059,2024-06-11T12:00:00,55.00,size_too_small,"[""var_000127""]"
ref_000011,ord_000074,2024-06-16T12:00:00,54.99,size_too_small,"[""var_000126""]"
ref_000012,ord_000076,2024-06-24T12:00:00,50.01,size_too_large,"[""var_000015""]"
ref_000013,ord_000081,2024-06-21T12:00:00,50.00,size_too_large,"[""var_000009""]"
ref_000014,ord_000092,2024-06-09T12:00:00,162.50,size_too_small,"[""var_000045""]"
ref_000015,ord_000101,2024-06-20T12:00:00,52.00,size_too_small,"[""var_000099""]"
ref_000016,ord_000106,2024-06-18T12:00:00,52.00,changed_mind,"[""var_000103""]"
ref_000017,ord_000145,2024-06-13T12:00:00,120.83,size_too_large,"[""var_000140""]"
ref_000018,ord_000151,2024-06-08T12:00:00,52.00,size_too_large,"[""var_000104""]"
ref_000019,ord_000162,2024-06-22T12:00:00,55.00,changed_mind,"[""var_000134""]"
ref_000020,ord_000165,2024-06-22T12:00:00,50.00,damaged_in_transit,"[""var_000015""]"
ref_000021,ord_000166,2024-06-19T12:00:00,195.00,size_too_large,"[""var_000048""]"
ref_000022,ord_000170,2024-06-14T12:00:00,195.00,size_too_large,"[""var_000044""]"
ref_000023,ord_000183,2024-06-12T12:00:00,120.83,size_too_large,"[""var_000139""]"
ref_000024,ord_000184,2024-06-16T12:00:00,145.00,damaged_in_transit,"[""var_000136""]"
ref_000025,ord_000201,2024-06-12T12:00:00,170.00,size_too_small,"[""var_000110""]"
ref_000026,ord_000205,2024-06-23T12:00:00,155.00,changed_mind,"[""var_000017""]"
ref_000027,ord_000207,2024-06-21T12:00:00,195.00,size_too_large,"[""var_000054""]"
ref_000028,ord_000215,2024-06-28T12:00:00,116.67,size_too_large,"[""var_000095""]"
ref_000029,ord_000225,2024-06-13T12:00:00,160.00,not_as_described,"[""var_000074""]"
ref_000030,ord_000231,2024-06-15T12:00:00,145.00,size_too_small,"[""var_000143""]"
ref_000031,ord_000233,2024-06-25T12:00:00,48.33,size_too_small,"[""var_000195""]"
ref_000032,ord_000234,2024-06-28T12:00:00,45.83,damaged_in_transit,"[""var_000128""]"
ref_000033,ord_000253,2024-06-26T12:00:00,45.83,quality_issue,"[""var_000134""]"
ref_000034,ord_000260,2024-06-27T12:00:00,55.00,size_too_small,"[""var_000124""]"
ref_000035,ord_000263,2024-06-28T12:00:00,195.00,size_too_small,"[""var_000044""]"
ref_000036,ord_000264,2024-06-28T12:00:00,43.33,size_too_small,"[""var_000098""]"
ref_000037,ord_000265,2024-06-10T12:00:00,41.67,size_too_large,"[""var_000003""]"
ref_000038,ord_000266,2024-07-01T12:00:00,48.00,changed_mind,"[""var_000063""]"
ref_000039,ord_000267,2024-07-02T12:00:00,54.99,changed_mind,"[""var_000134""]"
ref_000040,ord_000274,2024-06-28T12:00:00,170.00,size_too_small,"[""var_000112""]"
ref_000041,ord_000308,2024-06-13T12:00:00,40.00,quality_issue,"[""var_000070""]"
ref_000042,ord_000314,2024-06-22T12:00:00,150.00,size_too_small,"[""var_000151""]"
ref_000043,ord_000322,2024-06-22T12:00:00,155.00,damaged_in_transit,"[""var_000028""]"
ref_000044,ord_000338,2024-06-27T12:00:00,195.00,size_too_large,"[""var_000054""]"
ref_000045,ord_000365,2024-07-01T12:00:00,48.33,size_too_small,"[""var_000194""]"
ref_000046,ord_000366,2024-06-12T12:00:00,45.83,size_too_large,"[""var_000121""]"
ref_000047,ord_000372,2024-06-25T12:00:00,48.00,size_too_small,"[""var_000060""]"
ref_000048,ord_000373,2024-06-15T12:00:00,160.00,changed_mind,"[""var_000079""]"
ref_000049,ord_000393,2024-06-28T12:00:00,195.00,size_too_small,"[""var_000054""]"
ref_000050,ord_000398,2024-07-01T12:00:00,125.00,changed_mind,"[""var_000151""]"
ref_000051,ord_000413,2024-07-02T12:00:00,112.50,not_as_described,"[""var_000039""]"
ref_000052,ord_000416,2024-06-30T12:00:00,45.00,changed_mind,"[""var_000042""]"
ref_000053,ord_000425,2024-06-24T12:00:00,195.00,size_too_large,"[""var_000050""]"
ref_000054,ord_000430,2024-06-30T12:00:00,140.00,changed_mind,"[""var_000090""]"
ref_000055,ord_000444,2024-07-01T12:00:00,48.00,not_as_described,"[""var_000066""]"
ref_000056,ord_000450,2024-06-15T12:00:00,43.33,changed_mind,"[""var_000169""]"
ref_000057,ord_000465,2024-06-24T12:00:00,55.00,changed_mind,"[""var_000134""]"
ref_000058,ord_000471,2024-06-14T12:00:00,141.67,size_too_large,"[""var_000110""]"
ref_000059,ord_000494,2024-06-24T12:00:00,55.00,damaged_in_transit,"[""var_000128""]"
ref_000060,ord_000499,2024-06-24T12:00:00,43.33,size_too_large,"[""var_000100""]"
ref_000061,ord_000513,2024-06-28T12:00:00,48.00,size_too_large,"[""var_000178""]"
ref_000062,ord_000517,2024-06-16T12:00:00,52.00,size_too_large,"[""var_000167""]"
ref_000063,ord_000519,2024-06-19T12:00:00,135.00,size_too_large,"[""var_000035""]"
ref_000064,ord_000525,2024-06-20T12:00:00,41.67,quality_issue,"[""var_000007""]"
ref_000065,ord_000534,2024-06-23T12:00:00,140.00,changed_mind,"[""var_000095""]"
ref_000066,ord_000535,2024-06-20T12:00:00,44.00,quality_issue,"[""var_000176""]"
ref_000067,ord_000539,2024-06-17T12:00:00,45.00,not_as_described,"[""var_000043""]"
ref_000068,ord_000548,2024-06-13T12:00:00,48.00,size_too_large,"[""var_000063""]"
ref_000069,ord_000549,2024-07-03T12:00:00,145.00,damaged_in_transit,"[""var_000199""]"
ref_000070,ord_000552,2024-07-01T12:00:00,40.00,changed_mind,"[""var_000184""]"
ref_000071,ord_000555,2024-06-23T12:00:00,50.00,damaged_in_transit,"[""var_000013""]"
ref_000072,ord_000570,2024-06-17T12:00:00,135.00,changed_mind,"[""var_000036""]"
ref_000073,ord_000576,2024-06-14T12:00:00,160.00,size_too_small,"[""var_000079""]"
ref_000074,ord_000581,2024-06-26T12:00:00,55.00,size_too_large,"[""var_000133""]"
ref_000075,ord_000592,2024-06-20T12:00:00,43.33,size_too_small,"[""var_000172""]"
ref_000076,ord_000598,2024-06-27T12:00:00,52.00,changed_mind,"[""var_000100""]"
ref_000077,ord_000608,2024-06-29T12:00:00,195.00,size_too_small,"[""var_000056""]"
ref_000078,ord_000611,2024-06-13T12:00:00,195.00,size_too_large,"[""var_000048""]"
ref_000079,ord_000618,2024-06-24T12:00:00,162.50,size_too_large,"[""var_000049""]"
ref_000080,ord_000623,2024-06-23T12:00:00,55.00,size_too_small,"[""var_000132""]"
ref_000081,ord_000642,2024-07-03T12:00:00,45.00,quality_issue,"[""var_000042""]"
ref_000082,ord_000648,2024-06-19T12:00:00,40.00,damaged_in_transit,"[""var_000064""]"
ref_000083,ord_000661,2024-06-24T12:00:00,150.00,not_as_described,"[""var_000150""]"
ref_000084,ord_000664,2024-06-29T12:00:00,43.33,size_too_small,"[""var_000170""]"
ref_000085,ord_000677,2024-06-23T12:00:00,150.00,changed_mind,"[""var_000155""]"
ref_000086,ord_000679,2024-07-05T12:00:00,195.00,size_too_large,"[""var_000053""]"
ref_000087,ord_000684,2024-06-15T12:00:00,135.00,changed_mind,"[""var_000031""]"
ref_000088,ord_000690,2024-06-29T12:00:00,130.00,damaged_in_transit,"[""var_000210""]"
ref_000089,ord_000699,2024-06-23T12:00:00,48.33,damaged_in_transit,"[""var_000189""]"
ref_000090,ord_000700,2024-06-19T12:00:00,48.00,size_too_small,"[""var_000067""]"
ref_000091,ord_000711,2024-07-02T12:00:00,58.00,size_too_small,"[""var_000187""]"
ref_000092,ord_000732,2024-06-27T12:00:00,48.00,damaged_in_transit,"[""var_000148""]"
ref_000093,ord_000758,2024-06-20T12:00:00,170.00,changed_mind,"[""var_000115""]"
ref_000094,ord_000766,2024-06-30T12:00:00,112.50,size_too_small,"[""var_000040""]"
ref_000095,ord_000768,2024-06-26T12:00:00,129.99,changed_mind,"[""var_000207""]"
ref_000096,ord_000772,2024-07-04T12:00:00,35.00,quality_issue,"[""var_000118""]"
ref_000097,ord_000784,2024-07-05T12:00:00,144.99,changed_mind,"[""var_000145""]"
ref_000098,ord_000786,2024-07-08T12:00:00,52.00,quality_issue,"[""var_000164""]"
ref_000099,ord_000800,2024-06-28T12:00:00,52.00,damaged_in_transit,"[""var_000169""]"
ref_000100,ord_000801,2024-06-20T12:00:00,48.00,damaged_in_transit,"[""var_000183""]"
ref_000101,ord_000807,2024-06-20T12:00:00,129.17,size_too_small,"[""var_000016""]"
ref_000102,ord_000823,2024-06-26T12:00:00,170.01,size_too_large,"[""var_000111""]"
ref_000103,ord_000825,2024-06-24T12:00:00,55.00,changed_mind,"[""var_000123""]"
ref_000104,ord_000835,2024-06-26T12:00:00,52.00,not_as_described,"[""var_000167""]"
ref_000105,ord_000849,2024-06-19T12:00:00,130.00,size_too_large,"[""var_000213""]"
ref_000106,ord_000864,2024-06-24T12:00:00,195.00,size_too_large,"[""var_000049""]"
ref_000107,ord_000866,2024-06-25T12:00:00,40.00,damaged_in_transit,"[""var_000072""]"
ref_000108,ord_000868,2024-06-22T12:00:00,50.00,damaged_in_transit,"[""var_000015""]"
ref_000109,ord_000890,2024-06-25T12:00:00,48.00,size_too_small,"[""var_000148""]"
ref_000110,ord_000893,2024-07-04T12:00:00,160.00,damaged_in_transit,"[""var_000083""]"
ref_000111,ord_000895,2024-06-28T12:00:00,40.00,size_too_small,"[""var_000177""]"
ref_000112,ord_000897,2024-06-27T12:00:00,48.00,size_too_small,"[""var_000063""]"
ref_000113,ord_000902,2024-07-02T12:00:00,52.00,size_too_large,"[""var_000169""]"
ref_000114,ord_000903,2024-06-21T12:00:00,52.00,changed_mind,"[""var_000163""]"
ref_000115,ord_000904,2024-07-09T12:00:00,133.33,changed_mind,"[""var_000084""]"
ref_000116,ord_000910,2024-06-25T12:00:00,48.00,size_too_small,"[""var_000178""]"
ref_000117,ord_000911,2024-06-28T12:00:00,160.00,size_too_large,"[""var_000074""]"
ref_000118,ord_000914,2024-06-21T12:00:00,48.00,size_too_small,"[""var_000063""]"
ref_000119,ord_000924,2024-06-25T12:00:00,130.00,not_as_described,"[""var_000207""]"
ref_000120,ord_000936,2024-06-24T12:00:00,36.67,size_too_small,"[""var_000175""]"
ref_000121,ord_000947,2024-06-21T12:00:00,195.00,size_too_small,"[""var_000045""]"
ref_000122,ord_000960,2024-06-22T12:00:00,195.00,size_too_small,"[""var_000055""]"
ref_000123,ord_000961,2024-07-11T12:00:00,48.00,size_too_large,"[""var_000069""]"
ref_000124,ord_000962,2024-07-07T12:00:00,52.00,size_too_small,"[""var_000107""]"
ref_000125,ord_000963,2024-07-11T12:00:00,52.00,size_too_small,"[""var_000166""]"
ref_000126,ord_000971,2024-07-08T12:00:00,48.33,quality_issue,"[""var_000193""]"
