ticket_id,customer_id,created_at,channel,status,priority,category,subject,related_order_id,related_product_id,first_response_at,resolved_at,resolution_time_minutes,satisfaction_rating,resolved_by
tkt_00001,cust_000339,2024-06-16T09:57:10,email,resolved,normal,order_status,No delivery update for Boardshort Sweatpants,ord_000968,prod_00021,2024-06-16T10:02:00,2024-06-16T10:20:00,20,,bot
tkt_00002,cust_017287,2026-05-13T19:14:31,chat,resolved,low,sizing_fit,Is the Womens Relaxed Hoodie true to size?,ord_048219,prod_00047,2026-05-13T11:32:00,2026-05-13T13:23:00,203,,human
tkt_00003,cust_016236,2025-11-13T14:37:04,email,resolved,low,order_status,Tracking not updating,ord_033351,prod_00012,2025-11-13T10:04:00,2025-11-13T10:09:00,9,,bot
tkt_00004,cust_017892,2026-04-15T17:01:27,email,closed,normal,product_quality,Colour faded after wash,ord_045937,prod_00043,2026-04-15T11:01:00,2026-04-15T20:43:00,643,,human
tkt_00005,cust_002026,2024-07-19T18:09:06,email,resolved,normal,order_status,Order hasn't arrived,ord_002406,prod_00018,2024-07-19T11:01:00,2024-07-19T15:18:00,318,,human
tkt_00006,cust_005383,2024-12-30T11:17:17,email,resolved,low,order_status,Tracking not updating,ord_012652,prod_00030,2024-12-30T10:03:00,2024-12-30T10:29:00,29,,bot
tkt_00007,cust_006888,2024-12-12T18:52:14,email,resolved,normal,returns_exchanges,Exchange for different size,ord_010847,prod_00026,2024-12-12T11:31:00,2024-12-12T23:01:00,1381,,human
tkt_00008,cust_012074,2026-03-05T12:30:05,email,resolved,high,drop_restock,Next drop date?,ord_042470,prod_00027,2026-03-05T10:03:00,2026-03-05T10:28:00,28,5,bot
tkt_00009,cust_016395,2025-12-02T12:51:32,email,resolved,low,sizing_fit,Sizing question about Pigment Dyed Tee,ord_034768,prod_00040,2025-12-02T10:04:00,2025-12-02T10:27:00,27,5,bot
tkt_00010,cust_017224,2025-12-06T20:53:11,email,resolved,low,returns_exchanges,Return label not working,ord_035946,prod_00003,2025-12-06T10:03:00,2025-12-06T10:14:00,14,4,bot
tkt_00011,cust_019547,2026-02-25T15:25:28,chat,resolved,low,discount_code,Can I get a code?,ord_042097,prod_00031,2026-02-25T10:03:00,2026-02-25T10:07:00,7,3,bot
tkt_00012,cust_001979,2024-07-30T10:30:10,chat,resolved,high,discount_code,Can I get a code?,ord_002982,prod_00005,2024-07-30T10:01:00,2024-07-30T10:13:00,13,5,bot
tkt_00013,cust_017263,2026-01-06T21:49:13,chat,resolved,normal,discount_code,Applied wrong code,ord_039402,prod_00037,2026-01-06T12:17:00,2026-01-06T23:25:00,805,,human
tkt_00014,cust_011812,2025-08-07T11:08:54,instagram_dm,resolved,high,sizing_fit,Boardshort Sweatpants doesn't fit right,ord_025878,prod_00021,2025-08-07T10:59:00,2025-08-07T11:18:00,78,,human
